Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.5, epilambda=0.2, epochs=2000, gpu=None, hidRNN=10, horizon=4, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=0.001, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-2.h-4.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=2)
data shape (364, 10)
<utils.Data_utility object at 0x7f23c51fae50>
model: Model(
  (GRU1): GRU(10, 10)
  (dropout): Dropout(p=0.5, inplace=False)
  (linear1): Linear(in_features=10, out_features=10, bias=True)
  (residual): Linear(in_features=2, out_features=1, bias=True)
)
* number of parameters: 873
begin training
| end of epoch   1 | time:  0.02s | train_loss 692521365636333.50000000 | valid rse 40510136.8172 | valid rae 8514313.1178 | valid corr  0.2228
| end of epoch   2 | time:  0.01s | train_loss 682163872540954.62500000 | valid rse 40078560.7776 | valid rae 8352314.9151 | valid corr  0.2360
| end of epoch   3 | time:  0.01s | train_loss 674147777842365.37500000 | valid rse 39698170.0000 | valid rae 8197287.6274 | valid corr  0.2485
| end of epoch   4 | time:  0.01s | train_loss 666153315260748.62500000 | valid rse 39376443.2165 | valid rae 8066765.5014 | valid corr  0.2595
| end of epoch   5 | time:  0.01s | train_loss 660103291244109.37500000 | valid rse 39105871.7967 | valid rae 7955709.8959 | valid corr  0.2689
| end of epoch   6 | time:  0.01s | train_loss 655539737260866.62500000 | valid rse 38884979.2684 | valid rae 7868012.0110 | valid corr  0.2765
| end of epoch   7 | time:  0.01s | train_loss 650341141108453.37500000 | valid rse 38693324.4082 | valid rae 7792988.5808 | valid corr  0.2826
| end of epoch   8 | time:  0.01s | train_loss 645795831662343.87500000 | valid rse 38535516.1069 | valid rae 7733193.2932 | valid corr  0.2872
| end of epoch   9 | time:  0.01s | train_loss 643151906254590.37500000 | valid rse 38377250.2240 | valid rae 7678572.0110 | valid corr  0.2920
| end of epoch  10 | time:  0.01s | train_loss 640590670057575.87500000 | valid rse 38225231.2180 | valid rae 7627300.4712 | valid corr  0.2968
| end of epoch  11 | time:  0.01s | train_loss 636769189635086.37500000 | valid rse 38109829.7517 | valid rae 7591975.2767 | valid corr  0.2995
| end of epoch  12 | time:  0.01s | train_loss 634572836115074.25000000 | valid rse 37995926.0587 | valid rae 7556985.3370 | valid corr  0.3023
| end of epoch  13 | time:  0.01s | train_loss 631910561316525.50000000 | valid rse 37885004.6729 | valid rae 7525859.2438 | valid corr  0.3049
| end of epoch  14 | time:  0.01s | train_loss 629827748180787.25000000 | valid rse 37771600.5908 | valid rae 7492164.7342 | valid corr  0.3080
| end of epoch  15 | time:  0.01s | train_loss 627289224900027.25000000 | valid rse 37668146.4303 | valid rae 7463323.0027 | valid corr  0.3103
| end of epoch  16 | time:  0.01s | train_loss 624835487903240.12500000 | valid rse 37576153.6278 | valid rae 7440737.4904 | valid corr  0.3115
| end of epoch  17 | time:  0.01s | train_loss 622334340920038.25000000 | valid rse 37479593.8925 | valid rae 7417052.9315 | valid corr  0.3127
| end of epoch  18 | time:  0.01s | train_loss 619629422943848.37500000 | valid rse 37399003.2878 | valid rae 7400805.6986 | valid corr  0.3128
| end of epoch  19 | time:  0.01s | train_loss 616882579634316.37500000 | valid rse 37310753.5555 | valid rae 7382112.7890 | valid corr  0.3131
| end of epoch  20 | time:  0.01s | train_loss 614204875216167.12500000 | valid rse 37218894.1589 | valid rae 7360255.2986 | valid corr  0.3140
| end of epoch  21 | time:  0.01s | train_loss 611635412039543.50000000 | valid rse 37133247.1807 | valid rae 7343719.1014 | valid corr  0.3139
