Namespace(batch_size=128, clip=1.0, cuda=None, data='./data/us_hhs/data.txt', dropout=0.0, epilambda=0.2, epochs=2000, gpu=None, hidRNN=40, horizon=1, lr=0.001, metric=0, model='CNNRNN_Res', normalize=1, optim='adam', output_fun=None, ratio=0.1, residual_window=8, save_dir='save', save_name='cnnrnn_res.hhs.w-2.h-1.res-8.pt', seed=54321, sim_mat='./data/us_hhs/ind_mat.txt', train=0.6, valid=0.2, weight_decay=0, window=2)
data shape (364, 10)
<utils.Data_utility object at 0x7f8ac4090e50>
model: Model(
  (GRU1): GRU(10, 40)
  (dropout): Dropout(p=0.0, inplace=False)
  (linear1): Linear(in_features=40, out_features=10, bias=True)
  (residual): Linear(in_features=2, out_features=1, bias=True)
)
* number of parameters: 6753
begin training
| end of epoch   1 | time:  0.02s | train_loss 1317619611438649.00000000 | valid rse 51102009.9897 | valid rae 13368179.7260 | valid corr  -0.8690
| end of epoch   2 | time:  0.02s | train_loss 1302614268289327.50000000 | valid rse 50809955.7918 | valid rae 13291736.0219 | valid corr  -0.8689
| end of epoch   3 | time:  0.01s | train_loss 1287377951343198.75000000 | valid rse 50517893.9780 | valid rae 13215289.5123 | valid corr  -0.8688
| end of epoch   4 | time:  0.02s | train_loss 1272983034397643.00000000 | valid rse 50225820.6670 | valid rae 13138838.7945 | valid corr  -0.8686
| end of epoch   5 | time:  0.02s | train_loss 1258487615217360.50000000 | valid rse 49933750.7387 | valid rae 13062388.0767 | valid corr  -0.8685
| end of epoch   6 | time:  0.02s | train_loss 1244392009770477.00000000 | valid rse 49641680.4603 | valid rae 12985935.9562 | valid corr  -0.8683
| end of epoch   7 | time:  0.01s | train_loss 1229522419402281.75000000 | valid rse 49349606.0103 | valid rae 12909482.4329 | valid corr  -0.8682
| end of epoch   8 | time:  0.01s | train_loss 1215064509603051.25000000 | valid rse 49057534.9900 | valid rae 12833028.9096 | valid corr  -0.8680
| end of epoch   9 | time:  0.01s | train_loss 1199807004151595.50000000 | valid rse 48765465.5306 | valid rae 12756573.9836 | valid corr  -0.8679
| end of epoch  10 | time:  0.01s | train_loss 1185583345050146.25000000 | valid rse 48473401.5443 | valid rae 12680121.8630 | valid corr  -0.8677
| end of epoch  11 | time:  0.01s | train_loss 1171999572446655.50000000 | valid rse 48181345.0843 | valid rae 12603668.3397 | valid corr  -0.8676
| end of epoch  12 | time:  0.01s | train_loss 1157746771196738.25000000 | valid rse 47889284.4943 | valid rae 12527214.8164 | valid corr  -0.8674
| end of epoch  13 | time:  0.01s | train_loss 1143638376291684.50000000 | valid rse 47597237.4980 | valid rae 12450762.6959 | valid corr  -0.8672
| end of epoch  14 | time:  0.01s | train_loss 1129545093308598.00000000 | valid rse 47305198.3774 | valid rae 12374311.9781 | valid corr  -0.8671
| end of epoch  15 | time:  0.01s | train_loss 1115835621328911.12500000 | valid rse 47013179.2931 | valid rae 12297864.0658 | valid corr  -0.8669
| end of epoch  16 | time:  0.01s | train_loss 1101335620850179.75000000 | valid rse 46721172.5615 | valid rae 12221420.3616 | valid corr  -0.8667
| end of epoch  17 | time:  0.01s | train_loss 1087561819804770.62500000 | valid rse 46429166.2506 | valid rae 12144973.8521 | valid corr  -0.8666
| end of epoch  18 | time:  0.01s | train_loss 1074584687470910.62500000 | valid rse 46137158.3279 | valid rae 12068524.5370 | valid corr  -0.8664
| end of epoch  19 | time:  0.01s | train_loss 1060083032634405.87500000 | valid rse 45845154.9227 | valid rae 11992078.0274 | valid corr  -0.8662
| end of epoch  20 | time:  0.01s | train_loss 1047677926315228.00000000 | valid rse 45553147.8558 | valid rae 11915627.3096 | valid corr  -0.8660
| end of epoch  21 | time:  0.01s | train_loss 1033830410905190.37500000 | valid rse 45261139.1363 | valid rae 11839176.5918 | valid corr  -0.8659
| end of epoch  22 | time:  0.01s | train_loss 1020705881656646.12500000 | valid rse 44969132.9185 | valid rae 11762724.4712 | valid corr  -0.8657
| end of epoch  23 | time:  0.01s | train_loss 1008196614426897.12500000 | valid rse 44677133.4657 | valid rae 11686273.7534 | valid corr  -0.8655
| end of epoch  24 | time:  0.01s | train_loss 994373818939740.87500000 | valid rse 44385138.7904 | valid rae 11609821.6329 | valid corr  -0.8653
| end of epoch  25 | time:  0.01s | train_loss 982184638124547.75000000 | valid rse 44093146.8526 | valid rae 11533370.9151 | valid corr  -0.8651
| end of epoch  26 | time:  0.01s | train_loss 968186130753126.37500000 | valid rse 43801159.8563 | valid rae 11456918.0932 | valid corr  -0.8649
| end of epoch  27 | time:  0.01s | train_loss 955736993065521.25000000 | valid rse 43509180.0645 | valid rae 11380465.9726 | valid corr  -0.8647
| end of epoch  28 | time:  0.01s | train_loss 942837265586707.00000000 | valid rse 43217198.9104 | valid rae 11304013.1507 | valid corr  -0.8645
| end of epoch  29 | time:  0.01s | train_loss 931006475931435.62500000 | valid rse 42925227.3314 | valid rae 11227560.3288 | valid corr  -0.8643
| end of epoch  30 | time:  0.01s | train_loss 917797574436454.37500000 | valid rse 42633256.6919 | valid rae 11151106.8055 | valid corr  -0.8641
| end of epoch  31 | time:  0.01s | train_loss 905180296732854.00000000 | valid rse 42341293.6813 | valid rae 11074652.5808 | valid corr  -0.8639
| end of epoch  32 | time:  0.01s | train_loss 893235992682678.00000000 | valid rse 42049340.6971 | valid rae 10998201.8630 | valid corr  -0.8637
| end of epoch  33 | time:  0.01s | train_loss 880716958379152.12500000 | valid rse 41757409.2215 | valid rae 10921753.9507 | valid corr  -0.8635
| end of epoch  34 | time:  0.01s | train_loss 868478783122212.00000000 | valid rse 41465483.8171 | valid rae 10845306.7397 | valid corr  -0.8633
